uuid,KMeans_n_clusters_5,GaussianMixture_n_components_2
RHfiYzJZeoV7UgGZNeliTprmezU5myin/6MRxekLmZo=,2,1
RHh6G7cATNwYaTmWvTbMo/EKIMmSMXc7OR2x7OLW1x8=,3,0
RHiWam4240UuDs2TrKbVbRtj2i54GUqDJwX8PMKZ5M4=,4,0
RHmfDmVvjZ1DpcV+bA53fBrm61YE/+/CRpbTcTc2Jl8=,1,1
RHnAIWxfdn8hOD2G+pjSU80erDsNriPqNUiGqWBLEls=,4,0
RHomZhBtM1acFikzgYhqvtA7vDcNeHVMwy2o3r1SEYc=,3,0
RHrhKVQjM01PMQd2gNfAKz8VIzkEGGBnlVTbhPhoxzo=,4,0
RI2B+2bEXDxQhs7OfkCw2XiXaoIHIXegFo1r4ubxNvs=,2,1
RI2zrAQpFRvUcNd14JW39pITmkSdyPincN0UZKdIcUA=,4,0
RI4yDTBWK91NFJdMVHZHFSozcPNqM2A4flCx8/hGDnU=,4,0
RIDH/ECstc+fOIpGh5jKCsyaKOqYDAu1dAS11Sj4dZg=,3,1
RIIJG9anyB5igrTkytpopH59EMzH+ew5/Dla6fvyD+I=,4,0
RIJ5J+IxqpJGj6godCNkCs8cnIdbnVDgNtlRTrXE1y0=,4,0
RIJR+L6sj+23IVyUAPuhIztGWpGsjDJv7e6TYr8GWPI=,4,0
RIK4kNLvq+77ImO3jBcioVXX71GUL9TcVLMCwluVZqw=,3,0
RINW5sDPqeF3fIuB1t7ZH6YH4XASNDZ3A2DBjZi1N+Y=,4,0
RIX3O5wHEcLN6Ult/I6almuA7fOdx53D1TEnQA/0MFA=,4,0
RIZFe46TwyBgQBD/ug+iAzYnvjwWQJKFXKdtqYDyAg4=,4,0
RIilZIayOuMWbEU9Lkm5GPAU2FDqbkcCIRbC8qnQj14=,4,0
RImD7cMXE4UTbRuTdWylzisUjWUgXpEoYmKvGLHM0z0=,1,1
RIqG6hMXaraFjsxMsmC3WHBGDg00W3sSm3FfSSStFGA=,4,0
RIqmBu3vF1+JnwBiDm1MXH4pSowHZdK4X0trPfPGnrw=,2,1
RIrAnMrtMYbOcjYTNhLro6/75DlI6s4X2jIzBmwkZps=,4,0
RIs8mSjjTwOHEA/i3agNe+PC+NAP15GF5zHqE4eSAzQ=,4,0
RIv2HzGHaiIrmEGBY/3UFll5uCg+4mkcMJ2LELL5Ipc=,4,1
RIwSxs2EE+7Vr/wIdVtXPJ/9Zuad3y3s7grMLAJ3AQY=,4,0
RIyE5bVEpAAsv/OOgt3GR7nB3s6unYtOhsTKw5ulj5c=,3,1
RIzf51Yv+AX4/JflG+ktYNMuJJhnKZiZOhpuFKPyWoA=,4,0
RJ2qtT65KOEjVcqmzqU6drrD4+PMolnxB+yqnGEFA80=,4,0
RJ4TtkB/3xNKl4xsC5d6kO7/U2uWRcEO6t2kinx7Ep8=,4,0
RJ8XAb9SdYKvcMjWpvAPtADgSmSVGG44xXJsSbh1riw=,4,0
RJItxoq7+ufTgO6fFFb5E92lhw52ppK8aHma6R1+sxQ=,4,0
RJJgo4GXY178tRo9wgUkrOOnVO4J30m9dqugpWmWFyk=,1,1
RJK7Cfz+nJ0P+bHC40CzVIg8NdQ/t0kJ9mQFHREhUm0=,4,0
RJNm980LWmRR0UOmFcCEmCdWh9tXapYCzDQ+H1RNZOU=,4,0
RJREtB6mzfuk+fU5uTvMulYxQaB4XtVbwETsOC0mqOU=,2,1
RJTCa3qVig6Frarh927yVyD818kfOqcLwlBOqzunmH0=,3,1
RJUkgCkM4QYgsipnqtmCRSW0vrOgNsFiw3q7j4JZtl4=,4,0
RJWFLko9ESJLqZ5WI9y9dJzEMD3STO2TFp3g6xyvOqE=,4,0
RJWmAL1oOqLpSW53ynVp5z1xumOeKrxyxNYznsYXC6Y=,3,0
RJapg/TQDmzZ9d0rWdvS+VW1Ckf7/+Fn7PP5AKHnYVg=,4,0
RJb9f9piNYmzYusRBz+tXAAGUghGzKkxEWaXyX7+V2M=,4,0
RJdeztTXgpegA5TRLzS6QrUAxZBPNSOQtVuqhs2eeG0=,4,0
RJel5qgQr5sYv7jfPbUK/7R0ouiGNFiIYZXy3Nf4bPw=,4,0
RJf0oDTkJYDk0YJmKub1NX0Km1WbNWNR6fSN+cQJy0A=,4,0
RJf9krMt9q2K4iUoZgpdCCN9H+7WoL0QJT8OpTG5Vrk=,4,0
RJhUBg+Elxf4xtwJHwbPd3UimPs+ftMo5mdGOBBn818=,2,1
RJhmhlet9kQ+kJ1EV12h26ZV8+9jlxLZU8q0EluLKAM=,2,1
RJjR6847i5X/PspNJmkpfVxCODlwghKdqlXxjsPKdHg=,4,0
RJkPLEijS6ukLPSoO8Jw2rrld9wZrhx+jj1diT2T+1A=,4,0
RJtTQ6Y2ImrEbCDH1McfuHrgEDai3/Tq9Ej5qLQNkH0=,4,0
RJvv4v9Yl414OQxLl6WGgYYAxCp7/aRnr215OibDexM=,4,0
RJwJzOJLp31+IovbdCtajLuJgtqH+EMqCH56hSHFSTc=,4,0
RJzxVxJSMkCD7omLtjaDEupYdL2ON7cgqpABbHcmb7E=,4,0
RK+FAovWu6wK3qrO7LFbOCF2dqMg4WmK9qpcCbnQfyw=,1,0
RK/L0qsoyJIoHv3Rq1GMVfm7EfblLB+MvVq+qgd301c=,4,0
RK3pb3bwMzlViBKy6xNg1pYOc85MIXhu8DIH0DbeOvY=,4,0
RK6nRkyQSYMdOzOxspCn1tIP70pRzyj1Vw+iZPA6dOI=,4,0
RK7h/QkJ1JbH5VoVx2nGT7+qoShJZoE5CRbDGSbVzl4=,4,0
RK9O4zwtRdquOZkYUq6BXwcZMtWWcwr5tVannmMQGNQ=,4,0
RKCBa+2oyOCw0tsNSc2b5LJCU4DZfCpBS3Z2cMQlwdw=,4,0
RKGiYO3BCu+ck5zwtWkQAlfjstFqPTDQ0Wk+k53kQzo=,3,1
RKGpqDvfhQVomac9nWg8ugghRoBjDPSAa1BP/PiL3Tg=,4,0
RKKetW4OFKs3tpaaevW+sYzmZuCBjmaoKIYsORi5Djk=,4,0
RKRKbmAoH5DlEnZz2MUy3dgPoRr7umKitHCWST/gPAg=,3,1
RKV/Z3TjIx3sQnpRja3xwsfwfWRbE+QZt/J88cQTnmw=,3,0
RKZfEwZouwLTEfVZN8F2uKBTOGXPV/LEWmJElQlKwsM=,3,1
RKbDfcBw4XCgfXjD/cwtzZeQMJKkupMVUB8lX89ElTY=,4,0
RKc1pac3gcQX57IjTklva9Ut2fLbLJOrxRoA6ilBI/s=,4,0
RKg9tBvonUElcuh9R6nQtFLrc62g+mgyJE0rFQTDAL4=,0,1
RKgTP7O16ufGOQ4mYjnv3Hbkmth5cEr9KfAUdQQ4/VM=,1,1
RKh7xzqqw3pfSIryv9bUaKCo1OCxV53BCXyoFKLmS8o=,0,1
RKigSkisWZ+OGcpKG894EmRcKxa9FILA8Ep6npS0EYk=,3,0
RKkYSdI+LFpojMkdWo1CWHF+jo6lfSL/6S+Z2fLFkvk=,2,1
RKmmyg4AzvfrbmETAzUh0CFXyovA5Uw6npZPf65hUAs=,0,1
RKo4ljq/dD6R9FjHh9/wpjYbyRaJf/tM/ha2Y2pNnUk=,4,1
RKpAa9Rr2OXpCmPB80gLMq2/PuvusNUcnB93e0UgD5c=,4,0
RKxcagTK9KQPz89UO6blp117FY3qOEiPFy9ay4rfnbg=,4,0
RL282JadXIrvjRyEBlCOjn47+iuYGU3iGvnmm4BKA6o=,1,1
RL2hnc1+/H+19umwG7gEFbbFdqfp+Dk4aDazIqJlK4g=,4,0
RL2t6gfJ6BxN3Wh9Y2qTxATgCTOwYdAbeMUIHV+TEyw=,1,1
RLC0Q4SCFUFpH4jW/bfGhDhc0BVfc4ZabG6WyyQpxbs=,4,0
RLFtNiBfmTGhdh/yFrV/EJnMCEr419mTNQ6Nfd1z9C8=,4,0
RLJ1sZ7jBKEio1FAISpIT5s9cjdJOhvUKqbrLO+IxNo=,4,0
RLKMhOBvKuf/M6NtY9bMQlIH1qEl/Ojemg1/0wkFFig=,4,0
RLLZ68dXZGKZOSIih4wKrK7BolNkEYVnsQCOrEpNbCY=,4,0
RLTC8Ola9Wop0dhNKRkM9FjU+7aIQ8zPUR7VB+jpS3s=,4,0
RLYcFN/d3bHPircmV91eo8Ng9+JZ8TNMjdyP3Ps/dQY=,4,0
RLYmWvqEtgkU1nK3DlQvrTmWz509GxGIscaHxWOVad0=,4,0
RLhV6zQ58kApjVJSPSrt/nVrU7GlzVXBWqcpXK26XKI=,4,0
RLlMB2avBA+NIM9mKnJdcHpm6yKWQM+OJ75JjQ0SWbg=,2,1
RLlh+wKp2wx1iPQz8PR0JA6gQuHxV6/UG+C+dN0gVW4=,4,0
RLmECndO4SI4ttYLmbiCluPgu18ALb7kqyq6AUH1YtU=,4,0
RLqQZqTfkZ6ezybzCnGDSHm70DlkcPToghsoKFXzya4=,4,0
RLqwISys0bHAZPIP2m1qva/qVvqZmt8ay22sWRrVA/A=,4,0
RLrFsvkjZMnnWQP9djtpdwWHfEQ6z5UX1ETsK+aoh14=,0,1
RLvVkd5XmDb/hkvPcaRv7GQFFBGZy9HkmVDmXnH4mDU=,4,0
RLzusT9eMuGlE1tQm2kexqU/Pd0FGL0wl4OKwpQzqmU=,2,1
RM6JolRoFX/sFtcXAYTdtyJkELjWiHACfM+XdweSDTI=,4,0
RM7o9qcHSeKZA5krU9sYBXXJEY36o+mxQDZP1UvcQOU=,4,0
RMNnD6+Ts4Xwtoe7iSMDQxqQuZAzUDlZX5BsVqGb/5o=,4,0
RMPQhCqlM4/YDqRxjbbdpFcNZgStZoZLBlbwkL9RHOg=,4,0
RMSPWWiyqeB8qr9QWLuWc2McS5fUf/aH4mM89L+26UI=,4,0
RMXjgmsW5VgwY3GT0vSlgIieFR0xzAkvTblkHiB5JRI=,4,0
RMYZUL7H4kmUhQZrYeYdo/HutmB5PQNaDg3LjTLhYOo=,4,1
RMYvv4JtLt060lR2RcJQ4MWE44rNX0lEGVcROEzR/HQ=,4,0
RMdneyEjUFcWX/vhV4JmVPN3yDbRQHpE6kZDfndvGTc=,2,1
RMj3Q8uJZlNok65hHYfoQJwP+w7OEcAmnefCHtiLK/I=,2,1
RMk9SuU9VHmMuXvGytla6nXDROyIH2ZkbTXyrzqpHEc=,4,1
RMoAYcaQGbKIzLw1JNr/wTWeCgooUUnzDTDhlq3wewQ=,4,0
RMpXsVj41Fk4YOEeJEhC5/3TWRLEFHj++mP1KV+zSXM=,4,1
RMsCDldwmmmgnjIScKuGJeHAtyRTLyQmOJ9c9T9xjik=,3,1
RMsiAST/KcX6cg7uEZ2hLXG0TKncmOI5IbUrQcQGPyo=,4,0
RN+y8MS9wYYEIRUMCzX/q4dWmpKVJs/1mczC7bHw7XA=,3,1
RN0346P/f3pZx7vChnKfs8VTrbCZXJ0oxt021ey5Yzc=,2,1
RNC8gm1w95VtH4y9jt+9zrNu7np+Af5JAE0c0A6EFFw=,4,0
RNDSIhhdp+6kfLUxWq8ILPOas1SAPiF7TtHv7s1qgbU=,4,0
RNEx1GUkiN9mi4yvlEuLw7wfqCeczOVF+N7RoWmFB2g=,4,0
RNJ/fwrfPajXm8uRcVjz1WJIa8f7tMoShvZrU9TMQVw=,4,0
RNKFaYXwe7nosWrbsbYcQ1SCwNkHPV1T5dJfuamfu8c=,4,0
RNUZGsHKxEGHp0z1w0RcYm6S5zM6cH4SknvYP1YURJw=,4,0
RNVrUUhXLPB5pghazOpuNm24UrkDCoa6e1pT+AJSy/0=,4,0
RNakpyblmK4MOfHqjPwTcoplfynula2smR3DYI+igfQ=,4,0
RNis2siolcULsAvRej5WFkbB4hM2Mh2TvOdy6uzbPtU=,4,0
RNvoavpgq7UzQFv1jCo/CoWtcVOJYko2XHapmpixKbY=,4,0
RNxc8Nz4UGHNpQ1xnUseKi/LaJvftL9fe0+WpHe9p8w=,2,1
ROB3ju6IU1Qgn8Q0l1WHxdTXmOosWNNU80KFRx0+d70=,1,1
ROE1Mu6p0zUwmL/7QbB/8S9mzkxF5LguATTtpGVqJcA=,2,1
ROEEUFedqbfshOyg5KzkZa2IEniQ2YLzKlirnsxtK/Q=,3,0
ROLN8ux3IxeZ/Xu3DpipMQEIc7Yt6HkLj0S2pCRtKcw=,4,0
ROU6YyVREJOfydw7nSgLQT9DaGfqBEm43XSEZPmUDqw=,4,0
ROVAoQfYGr3fc/UstsbXDbWcy7R99miWpJSw2GbHexM=,4,0
ROWmg/Ng0SG3bOPec0YVdR4HcYV7Vshwor57x2MFhWo=,4,0
ROYr3lIb586619DOxGYjJgxZcQPUZO+0gqN4Z8/z+OI=,4,0
RObQzsl0dE7Ykeha4vyFF5XI45KXcEFwBP5i2i460PY=,0,1
ROd3Ok2zqKZ5cnFNbe8iQhedxAoRzA5o9D8W9ohEtyI=,4,0
ROerq1bsaA5AumPB8/9148luRKaJvFqbwnTXqUTmGYw=,4,0
ROfulT0pbFok9oYy0iV6OKIKuamSa9zDQoWNMqwZCdg=,1,1
ROgp/NlRacR9/hLA7nbzKbzj/wxkxNx48a29s0pUGek=,4,0
ROiZQSlRDFaXWwibvt55YdIMeOYlIY4S6pwiTgt/Qqo=,4,0
ROoxP4pgLi9bw0nc26MPjs8b6+hsIQZErbFzd/cL6yQ=,2,1
ROymzGN9fDTTRQX0bYJcNj9ydQ/mCTddNBRWPqTYOrc=,4,0
RP4dDX7LNgvEDxZj977fEszMkDk7M4FnHfaSADKdHWs=,4,0
RP6RGyAqPSdgcEMYLVBUcV9cpYPcMstJQdIJDW/IUEE=,3,0
RP7AIUkkq/3yt+pQykf8/cA0ZqkFP5NS7IzAE8MAsfU=,4,0
RP7aHlLUumTZ0jzBQNyqi6DnsikboVpu9V3XPhxs7lU=,4,0
RPGagZX9nQNniEG75sVvMrWKrK0QbERwES0y1suf2yE=,4,0
RPH2AVYsYvP4hZD3cc9O+Qe5cDLCNLfH4aSaur/kK9U=,4,0
RPKyNwk8ecxJocdhf6vyQ8/V2gLXEPGdUn2GcJx0+bI=,4,0
RPOTMmo/4KgZ0E1VrHT72JHnMjjHfpKC5hhjMMjn4lU=,4,0
RPc5z3ZqWCMZ3NHFzsC5xs1KMp16DvdtQAnb2VzNSyU=,3,0
RPcVQ1TOFRDatCZGhZnP3TDy3LHy4KEmTg3SjL2EBsQ=,4,0
RPclwtjAyWmj1jlGlxGWwJ217rdaplPRczJlWk70EhE=,4,0
RPe3RBmHCe0x6jI381GD5NIgSGhsLXxf0tB2sLm0Tq0=,1,1
RPeBix07eR8dzqPYf5adIcGkhyEPGbR8ywmFPKzT4Ww=,1,1
RPfpIv5nms9D5XNyy/POxtfeGZuSfI76zaLarxZeW3I=,4,0
RPi+Eqg9wRuItFmmRTKaN24HN3K1OuBcTKo/ZQdyOSU=,4,0
RPiI03wyanPrXokZPa0vF3vOmLciHO4yNIQTpN+tUmI=,2,1
RPk1gGDR19APcTuoYB6rJ2u73XAJ0nWU0aNsZ/JtPMM=,4,0
RPnIQ6bNwBnPv9zHpK/kw5WDK9l42By1hDYMaLaKNeQ=,3,0
RPo7ED156I30g8jjYvi3TfiqxbU4VXD8EO4PRr26fAA=,3,1
RPpK9nWkxjZcRxc8TqSjRJ/qtAcZB1GfdwwQ8Nm2jPw=,1,1
RPpf7U1QbX3eVw+Xh/o8n2lZHkxLCHCr+YhNcpy052s=,4,0
RPrpT8KQnhX7T4u13dEonpsPtO63lypdhEQnfxZeols=,4,0
RPtxWJW+M6qewowDH80wvMgwJKk4FtA048219b+EF28=,4,0
RPuzuXNBH+NIGOVCEJlG0kbkWiQd1SXl+dt/q7zzkO0=,2,1
RPvupZjVPN3BD9lG8PQx4vEuUQG1B1iOpnktqTtp/nY=,1,1
RPw0JMctw7LbM/O6MgrZXtVajzXOX8R2YKOna/5vhYo=,0,1
RPy4IpmygxlczvR37ahHmzmFvNFLIEdk2VhKVanhhWM=,0,1
RQ+xP2RdZXHNqlBdlc/I/rmBIPll9DtQlwvpRBZL7g4=,4,0
RQ78MtylRaMWUXCKLmNErQYPuFgzIh6ZwhBeU6gE3aE=,4,0
RQClWrR9KkuJcWnx4PtHsvWczNNjroerrNiZ9YlSf/Q=,4,0
RQM4m4vD1vjB610eIvaeor7Px5Swnnva6eslTRq72ds=,4,0
RQP+a/8y6OMWVUKfHDhZRPGTbApdQiYGqRIIa10jKP4=,4,1
RQTQa0i3MDWqNevabhx8+I5citlhR2ccplGMPHr65To=,4,0
RQUiQkJw0tLmIFxkVcFpr2iO+DyuNyHd6xc4rhSO3ZQ=,4,0
RQXAilr0rcsoeNGHyKyMZmIXdQ7No3xZBlDktoMi33w=,4,0
RQYnTia7TFFx+qIenoecgneLmPAsLhkJbERpvIjXQXA=,2,1
RQaWFUfE8HRsp7qLvnu8oolqZjfZ2Cirt2eoPQwl+TM=,4,0
RQapXpofNP4bH1MLTgYBPR58SY14iB/cqlUQ6kOSfG4=,4,0
RQnBDbw3JZEzA7R+RXGN3ml1/dchx5kcPSPqhApZFts=,4,0
RQpZlvHtqt43SyAYEWVel7mZ90O2k6UtUJwrDTz/NVU=,4,0
RQtxDXpVfLkEGWS1q27d4+UhXd7LT4SXzzbz4BGRtlA=,3,0
RQzdx/R4RFC8hOYhM4egk2dYcCFTCHfOOeEX2/UopFE=,4,0
RR0fcRo94zPwRzqGtw9JcpLeWe7MyACjhcZzuB8RNpw=,4,0
RR4smC4CGQz4hd427Vdcr45wxIdCYRlSNgvdxczBoWk=,4,0
RR6AwONHU4x1TLiIuDfVkeIluahw0kKZCPUyyj/SacE=,4,0
RRAtpIdnNhmlgNZiBKSg2fnkPJoytKSMrq6bEFM9K7g=,4,0
RRB2QTpAtWHZEdgz7TtZUPckZfqsQb0256WkKNe77oo=,4,0
RRBojLHmTcsZkD2HyiRTayB5DXRYhkLgJPsRQTSPUdE=,0,1
RRV5X/DZMM+OV52eSwv0XvCgw0tEbCoLokevMgpF+aQ=,4,0
RRVAi/W8/5D0awZlYZF53uUFSC63HN3z6DKc69TnzwU=,2,1
RRYYt/fTswbN6VFr1NXnysIvqFBJHr1daIpkRgmLgO4=,4,0
RRdBJDmW/JLrdSv+CDSEe2m3l+E2KtNHhEehPJPvE6E=,4,0
RRf2YNIKUX2a9XaUX4gxsSolJgMeT/Jpfr6g+0MEwQk=,4,0
RRfn8XWGVTLc6Xj1YGy77r9lebRGh/XEImEjQYjg9d8=,4,0
RRhVRqqCws1ZnF/b0zEpYwP+WjbmRj3uwurONbILmBs=,0,1
RRlgtj60g7FlJGnZ7LBE2x4SbA15OuZCuM+0G9U9ruE=,4,0
RRnIOT8ZhRxQaoZI+RprLelnJq6MWJJmzCQEVG3h/Ok=,4,0
RRpPpCh+jNfv/94LWvSt7C1GSXjbP5lJs0MdVXCPln0=,4,0
RRtnDKQdQhiQRNR8sonthZJEZC3BPwOq+G12pBPSfig=,4,0
RRvErLobgPy3a/MlI1mq3VafGxaLFks3qonxu73oQ2o=,4,0
RS04sy/kUfnJTwfC57PqN+0Lh8ANtKtG5aaI29/tRpo=,4,0
RS1aOeYRAILUh4oAbdtlAfkZ0RnqpiIMVqC8nrPMbI8=,4,0
RS8VCttxirrsNSskVWyRrhq/H7y+cMiaH0bM0Nf3pcM=,4,0
RSDKEgX+kmbQoL7XlI06pFf7JJCTCSXH4bExtzTMOJw=,4,0
RSFaVA7KdNMszG7B62aKRJJJmC/CN7OFpD1016Vn9jo=,4,0
RSLl6zEhxaa8ibMG9ThwesJoJs3dUG4icpm1XJGmIDI=,4,0
RSNu89n1BVS5mW3Nh8JXwLQv1BqUDbpQELGkG5tgNN8=,4,0
RSV+g/vjra8JjjoPRolVM8zk0doUhw9dDr7izRBAt8I=,2,1
RSV2tcvcjECXSVsOT5D5gt/OrLni1yzG4KVqsjNKn6I=,1,1
RSVa5rQYK4726UpF3EDBCvB16uIRj0qaHph+ik6bLUY=,4,0
RSaVJg3hYdciuLfNj8fgZM7CT/zyxb9nBM8iTlMpxHo=,4,0
RSb1y0YzEnn+0atLSXXHRGWChg7czHpK9b6TSHMr5ow=,1,0
RSjIc7bHEYcYe/H42Rb4bGkBHJ8Ol/sCHdw5YuFGQ0s=,3,1
RSngBYNfOs4VdUNnALl6GkjhsMlF7JF9oRkvBQxnDt8=,4,0
RSo/YeHwLmfhjkNQDehgstckKLoRW3hWlprSVa9Cdz4=,0,1
RSr8qjXLjci78IjJrN/TnsqgVkX1qcNvmTTyEP+Ders=,2,1
RSuf8mlz/jrb7uVSczaGRkj/JMXgUDVJGHDMlZKXHjM=,0,1
RSyFVVNpOcndYkMhjMwaB/pivAatnq4/MXqJEUdARYw=,4,0
RSzNBTSk66ayXsESQAd9baZN0p6l3KqCtNrNGMW7FRQ=,4,1
RSzTTdxd8Q6uubEAQSQcwnkjjnGDBT0vpBf4ctDSp3Y=,2,1
RSzhO7DbuA2wzqk1Dfnt09kERxSIsYEJrBYWUp4qVUM=,4,0
RT883rsqKyxwMGbdts+Ydc0EwCSuzDpnsji1zkzGOQo=,4,0
RTATj7xFjppbtGh3uaVnJ/hXsw2ijB8aFpLl/gDWuqM=,1,1
RTDF7x6O18KksNoD3p6KvhGSdl3w+vF+mVZhWw4JH/c=,4,0
RTJdEYyIKhNuzX3IUZU9SrS6SiGTIRJekEmTvu/MMQo=,3,1
RTM6nfoP8vjkbkq+w6dLR3hQVCE7DGzk54tpTEYCfko=,3,0
RTO5m8hLcf/MAL2g6oxhkpFok6NpyRiP9+kPtg3RmSw=,4,0
RTTbM5VCuUtFD9rb4am7bOqXFmZVmZy/VHdMDdlBjUw=,4,0
RTYpGafecKyfe7VmK0riqwJugTJb3BWOaXMwWJV5ydA=,4,0
RThcnOV2AqtYWfpT5Hk30SbudLDZGzCEXLPX0wAWfZ0=,2,1
RTigDjeFuGT+QZM8F1ElyMBFoSlYramc/uVKzMzXysM=,4,0
RTisOfhvIXr4o5qT+maDS583qN+GothBpgockyPBcn0=,4,0
RTpjqpi3b0nctSAk5cJiVBifi6waKCRRC6IV9YoyG4Q=,4,0
RTuIH/mSGJC6Qa2LSgPtExibfoObg2uUCyg9qDhVIFU=,4,0
RTvznfMzo1ZOE9Jb1cqe+QrcCB3/ZAihZLKB+JJWtFU=,2,1
RTyD1IgIsETWt+6HlUzc5BEWq4SuKb9KHj/zFMNn95g=,4,0
RU1VzegdmO+67dAMhDX+txXD39BtxIHmidenPxR3MI4=,4,0
RU6ETbHq9smyyNR7S63kHOVxheYH6VDsOUUQqjyUSHU=,3,0
RUEq85dquJRNPCvobmOLbH1r6zZ8hMmTCpKyFjpwYqs=,0,1
RUIDSvcdQB0Xu4U8ibQZbAjSIjx1atyhASlvTtOUZts=,2,1
RUIdPLoF9/i4NBT3+jK43w3UFx/M2//lTvuNWnKGf/I=,4,1
RUPC9b+2ZXbYvVn2ggPlL8arnBY/x0x4Osxw5M9qVvg=,4,0
RUPOJmlg4E9RbjaT+Y5KA0PyVZ64Epn2tHuJp8YF4+0=,4,0
RUUaNtu4VM7Z0egc1y4L4+uDWSfGYi3fH925YKdgR5o=,4,0
RUWzTPCERgfMYLloK1HL3h5xqymaB+xdwUePH6RIyjY=,0,1
RUXjTFyZ6MRl0d2mnUVDdt/3sApvwPZubP5oZ0tE3+c=,4,0
RUYW5tdgJ9q8Ckt2mT2k1jWGmZKyGrZceqtmQAWrd0o=,3,0
RUYivb6UaT+lsUTMnLmNvcMUPgnD3qBkgZDvn3j8enw=,1,1
RUZFC0fvTmfMnydMPuHmcXunTjW1ARVltXt7kxjYa0c=,2,1
RUndSkSo+NK3Izi8CCZuWsiM61mfkY/y2iZEyaMhWFo=,4,0
RUqiseF+vud2jKN0aNC1sC3yuPAh9j4YBi7uzF+Y8/c=,2,1
RUtFBDEdaKe2gHb6Qp2o8RHsiVml+CwMO2tmPtSXBVM=,4,0
RUvN59+MCUHPAg8ofgBL4jbLWHcWkShr5zB9eW7K/U0=,4,0
RUzDz6HUX2ecSiClf72bBXYvlAF/YULgOxmK+hKoxtM=,1,1
RV2OdMjr7/DraazHuo5lwPB6n8zpVbxm8T+Lz8B9fRw=,1,1
RV2mrjsDVoYwhR5XjN4bxm/xtT4/EF4ZNgeIAaMoELs=,3,1
RV7B88MbzaS2c8L3F3pARUl2wgfmY/SNXJCZecP/wIE=,4,0
RV8hS8tbcR8aqoRJwq8FFc4TWqsbLfaqZ4utRF3xye8=,4,0
RVAYR8ykP2lalab6OFNXK2Tk3df0UvI8RBrVN3nuk9Q=,4,0
RVEbWkN3c8ebyN8fMtH+o8SHS/S36Ik84nd/kUTU4D0=,4,0
RVFXHDE79MVf0V1n7wfQqo+iuZJgycR7sjz4vnXfLWA=,4,0
RVH9SLSbuewGNGyRzrJZcCd9DDd9X/wUo9bzEGRVSUE=,4,0
RVHE6Q+xreq2ArBxbDtiyWO20llMazVZLCy9a9uU4dE=,3,0
RVJcR9h8GzbzG2unAdz9wJum8b04xTSgYlT1xmw7AlQ=,4,0
RVJh8X09ZzqvXzK29gcDiL5GVu5kzgJGp7cbeVu5Id8=,4,0
RVO6ULmZIeHDYYJG9BdinV7lLi9J1rbHWWOuvjI+zj8=,4,0
RVQdihUK/Cqepz6vYp3/DOGgktAejIoOJhw2ZkJ9xK0=,4,0
RVXIr6IVJZ3UkwY5rkEPaCsm5VC46U9ilpIHo4LuhGA=,2,1
RVYjw5jFsLu9PBk3L5symdZB/D3T7sp7/cEUuL13/DY=,4,0
RVarNzqHSW1SMYtl589Z2J6oKKn37KSLIpmCfR3AyIo=,4,0
RViN0jRjK1QsSHBM5DSsMWDE/60y/dTDOFxS6iG9F30=,4,0
RVjQnmhX/5nPElPMovaCmdzOMM7MaBadRWUFz6Qy8Aw=,1,1
RVnE4m2HZ5Tej1KygFVNdtQyFjRG1fj7pCvgSJqt2R0=,4,0
RVq9neewl9An56UUtOIw33PHivdauBjOiid86K8gFYM=,4,0
RW/6UD6rGET0/Rmv0V4TLBxZ98JGS+scEPPuK5pdJYo=,1,0
RWExvkdQ11Q1c5g1c46bv2n9ZaziETd2qBtM4p5ng/4=,4,0
RWMguqWTV5ZD5sOIz7O++a8WQIG/A9emL1mk3usK74o=,4,0
RWPiqmfbJO55hzVPCThAlfhJb3QtsaZqve3czbULXQ8=,4,0
RWTFdA+mfZWm67c2PfDCv60ncb0N6PG2Cewicl8i0fQ=,4,0
RWVmpeTZYmkz5VkT8jAG/Zl56zkhtwJevN92TISI/mQ=,4,0
RWWYU3veJdVdSEAVAbWKdmXMQ3CZO8M7eRz76jl4kzs=,4,1
RWZ+MdqO8q5M3hvQIIIuDJG+f+BmGXQtF+zVKCNQcr4=,4,0
RWa3YTqMlHAqS6fWeStyCy1CfwuKFp7+654V+SC0fvg=,1,1
RWbMtFl8lLkPfPIsFQgkBUmmOKiXCtEWBjpaGY9AKPc=,4,0
RWc4InNBUgTbGNR/OUAbpHngNmWjpVayjnDg5cpdx4I=,4,0
RWeJ/o8V57UOA3eRcKsbT8VjDzLQv7EhARYS9Idr6A8=,4,0
RWli7WFoGH1vuJ9S/i8kFbYrCpgLYBYexFl+tladyb4=,4,1
RWsFjDA/Pvd//RJqiPtHLgvKz+UC5fN+hFlBJ2MvFXc=,4,0
RWtKu6jLC27v0Qulbs2qnHoiTuypDQceBYCv9QVQqfg=,4,0
RX0RyM7nuR0v4OtYy2e12lNt/STVZ5uscKlf7LO6nBg=,3,0
RX85EQuiwos0jIaPLOvhIZ/INIkZHaPVS5MKORPAmCw=,4,0
RX86puAhP2XppzJvBeqMxsnA2M92q2qZa0nF4cjHYww=,4,0
RXAI9drMLO8S2tnmjSqtztWwV7wLw45ky5XM1DaNwJg=,4,0
RXFh9esTG6jHi3csh+WZp1t0uszLYkHjsUzqzJw70p8=,0,1
